افريقا	Afrika
سورة سبأ	Saba (sura)
سورة فاطر	Fatir
سورة يس	Ya Sin
مامولکه	Ärlesläktet
سورة الصافات	As-Saffat
سورة ص	Sad (sura)
سورة الزمر	Az-Zumar
سورة غافر	Ghafir
حسن البنا	Hassan al-Banna
سورة فصلت	Fussilat
سورة الشورى	Ash-Shura
سورة الزخرف	Az-Zukhruf
سورة الدخان	Ad-Dukhan
سورة الجاثية	Al-Jathiya
سورة الأحقاف	Al-Ahqaf
سورة محمد	Muhammad (sura)
سورة الفتح	Al-Fath
سورة الحجرات	Al-Hujurat
سورة ق	Qaf
سورة الذاريات	Adh-Dhariyat
ډېل کارنېگي	Dale Carnegie
سورة الطور	At-Tur (sura)
سورة النجم	An-Najm
روح الله نېکپا	Rohullah Nikpai
سورة القمر	Al-Qamar
سورة الرحمن	Ar-Rahman
سورة الواقعة	Al-Waqia
سورة الحديد	Al-Hadid
سورة المجادلة	Al-Mujadila
سورة الحشر	Al-Hashr
سورة الممتحنة	Al-Mumtahina
سورة الجمعة	Al-Jumua
سورة المنافقون	Al-Munafiqun
سورة التغابن	At-Taghabun
سورة الطلاق	At-Talaq
سورة الملک	Al-Mulk
سورة القلم	Al-Qalam
سورة الحاقة	Al-Haqqa
سورة المعارج	Al-Ma'aridj
مادهوري ډکشټ	Madhuri Dixit
سورة نوح	Nuh (sura)
سورة الجن	Al-Djinn
سورة المزمل	Al-Muzzammil
جامنو	Syzygium cumini
سورة المدثر	Al-Muddathir
سورة القيامة	Al-Qiyamah
سورة الإنسان	Al-Insan
سورة المرسلات	Al-Mursalat
سورة النبأ	An-Naba
سورة النازعات	An-Naziat
سورة عبس	Abasa
سورة التكوير	At-Takwir
سورة الانفطار	Al-Infitar
سورة المطففين	Al-Mutaffifin
سورة الانشقاق	Al-Inshiqaq
سورة البروج	Al-Burudj
سورة الطارق	At-Tariq
سورة الأعلى	Al-A'la
سورة الغاشية	Al-Ghashiya
سورة الفجر	Al-Fajr
سورة البلد	Al-Balad
سورة الشمس	Ash-Shams
سورة الليل	Al-Layl
سورة الضحى	Ad-Duha
سورة الشرح	Al-Inshirah
د ماغزو تومور	Hjärntumör
سورة التين	At-Tin
د پاني پت دوهمه جگړه	Andra slaget vid Panipat
د افغان-انگرېز دويمه جگړه	Andra afghankriget
سورة العلق	Al-Alaq
سورة القدر	Al-Qadr
سورة البينة	Al-Bayyina
سورة الزلزلة	Az-Zalzala
سورة العاديات	Al-Adiyat
سار	Örnvråk
سورة القارعة	Al-Qāri'ah
سورة التکاثر	At-Takāthur
سورة العصر	Al-'Aṣr
سورة الهمزة	Al-Humazah
اکشې کمار	Akshay Kumar
سورة الفيل	Al-Fīl
سورة قريش	Quraysh (sura)
سورة الماعون	Al-Mā'ūn
سورة الکوثر	Al-Kawthar
سورة الکافرون	Al-Kāfirūn
سورة النصر	An-Naṣr
مکه معظمه	Mekka (provins)
سورة المسد	Al-Masad
سورة الإخلاص	Al-Ikhlāṣ
سورة الفلق	Al-Falaq
سپين توت	Noni
سورة الناس	An-Nās
سورت	Sura (islam)
د هند کمونیست گوند (مارکسیست)	Communist Party of India (Marxist)
حديث	Hadith
شاپور ۲	Shahpour II
حج	Hajj
سورة الصف	As-Saff
سورة التحريم	At-Tahrim
ټې-۸۰	T-80
ان هيداوې	Anne Hathaway (Shakespeare)
لونيک	Judaspenningar
ميل مي - ۲۸	Mil Mi-28
ديکلوفيناک	Diklofenak
سوخوی سو ۳۵	Suchoj Su-35
پيچکاري	Injektion (medicin)
ابن طفيل	Ibn Tufail
آسي ژرنده	Hästvandring
ملالۍ جويا	Malalai Joya
فيفا	Fifa
سوشميتا سېن	Sushmita Sen
ليلا علي	Laila Ali
هېنري مورټېمر ډيورنډ	Henry Mortimer Durand
رابعه بصري	Rabia al-Adawiyya
بېنزيل پېنيسيلين	Bensylpenicillin
۳۹×۷،۶۲ مرمی	7,62 × 39 mm
ږدن	Hirs
سيما ثمر	Sima Samar
اميشا پټېل	Ameesha Patel
حاد مايلوييد ليوکېمي	Akut myeloisk leukemi
حاد کرونري ساينډروم	Akut kranskärlssjukdom
د کارلشتین کلا	Karlstein
بلنځه	Haloxylon
اروپايي اوښاره	Bönsyrsa
پلسيوسور	Plesiosaurier
کاموف کا ٥٠	Kamov Ka-50
گڼ پوهيال	Universalgeni
شري دېوي	Sridevi
د سپاه پاسداران انقلاب اسلامی ځواک	Iranska revolutionsgardet
آنتونوف-۱۲	Antonov An-12
نوشاخ	Nowshak
خبري غونډه	Presskonferens
ايليوشين-۹۶	Iljusjin Il-96
خټگري	Murverk
بسم الله الرحمن الرحيم	Basmala
کلورامفينيکول	Kloramfenikol
انټر سرويس انټېلېجنس (ISI)	Inter-Services Intelligence
اېسټروجن	Östrogen
HACCP	HACCP
مچواژی	Flugsmälla
غزل	Ghasel
سوابۍ ولسوالۍ	Swabi
شهاب الدين سهروردي	Shihab al-din Suhrawardi
مېگانېورا	Meganeura
عبدالله بن عمر البيضاوي	Baidawi
د ډيورنډ کرښه	Durandlinjen
يعقوب	Jakob (patriark)
لارا دتا	Lara Dutta
الجاحظ	Al-Jahiz
امام شافعي	Muhammed 'Idris ash-Shafi'i
سيد جمال الدين افغاني	Jamal al-din Asadabadi
نصرت فتح علي خان	Nusrat Fateh Ali Khan
نور محمد ترکی	Nur Muhammad Taraki
سادات	Sayyid
د راديوايزوټوپونو ترموبريښنایی جنريټر	Radioisotopgenerator
آلانين ټرانس امينېز	Alaninaminotransferas
ايبټ اباد ولسوالۍ	Abbottabad (distrikt)
ختيځي مچۍ	Östasiatiskt bi
ختيځه فلسفه	Österländsk filosofi
اروپایی زرغون څرموښکۍ	Smaragdödla
عبدالقادر گيلاني	Abd al-Qadir al-Jilani
لور	Dotter
عبدالکريم سروش	Abdolkarim Soroush
ميمنه ولسوالۍ	Meymaneh
الشباب	Al-Shabab
سردار محمد داود خان	Mohammed Daoud Khan
ماخۍ	Alhagi
عبدالقدير خان	Abdul Kadir Khan
سلطان قطب الدين ايبک	Qutb ad-Din Aybak
بيټالکټمېز	ESBL
پلازموډيم فالسيپارم	Plasmodium falciparum
نورالدين عبدالرحمن جامي هروي	Abd al-Rahman Jami
عمران خان (لوبگر)	Imran Khan (skådespelare)
رودکي	Rudaki
خان عبدالغفار خان	Khan Abdul Ghaffar Khan
عبدالرشيد غازي	Abdul Rashid Ghazi
عبدالله عبدالله	Abdullah Abdullah
جرمېن جېکسن	Jermaine Jackson
گلبدين حکمتيار	Gulbuddin Hekmatyar
احمد شاه قاجار	Ahmad Shah Mirza
مېلبورن پوهنتون	University of Melbourne
داسو میراژ اف‌۱	Dassault Mirage F1
آر پي جي-۷	RPG-7
آغا محمد خان قاجار	Aga Muhammed Khan
صالح	Saleh
گڼونکی	Bokhållare
د ۲ کا ۱۲ کوب راکټی سیستم	2K12 Kub
کنکه لېږندويه انسېفلايټس	TBE
اس-۲۰۰	S-200
ويي جوړښت	Ordbildning
تايروکسين	Trijodtyronin
ادريس	Idris
د سولې نړيواله ورځ	Internationella fredsdagen
روماتولوجي	Reumatologi
ناصر خسرو	Nasir bin Chusrau
شپې ليد سترگۍ	Bildförstärkare
پادشاهی جومات	Badshahimoskén
عبدالرشيد دوستم	Abdul Rashid Dostum
ذوالکفل	Dhul-Kifl
کريم خان زند	Karim Khan Zand
رنجيت سېنگ	Ranjit Singh
اپورتونېزم	Opportunism
شمي کپور	Shammi Kapoor
امير حبيب الله خان	Habibullah Khan
بيت الله محسود	Baitullah Mehsud
ابوبکر	Abu Bakr
ابو مسلم خراساني	Abu Muslim
جيورج ايډېن	George Eden, 1:e earl av Auckland
سلطان علاوالدين غلجی	Ala-ed-Din Khaldji
کاشي	Glasyr (keram)
تفسير	Tafsīr
گوگل	Mediastinum
راجپوت	Rajput
آیت الله سيستاني	Ali as-Sistani
نصرت پارسا	Nasrat Parsa
صليبي غڼه	Korsspindel
ناوې	Brud
چورليځ	Axis
محمد علي شاه قاجار	Mohammad-Ali Shah Qajar
فرانسېس يسېدرو اېجورت	Francis Ysidro Edgeworth
محمد نادر شاه	Mohammed Nadir Shah
آنتونوف-۱۴۰	Antonov An-140
سلمان ابن عبدالعزیز آل سعود	Salman bin Abdul Aziz
پټه لرونکی ژگاگ	Strimmig skunk
سليووويټز	Slivovits
ابو الاعلى مودودي	Sayyid Abu al-Ala Mawdudi
اردشیر پاپاکان	Ardashir I Papagan
هېماټويوريا	Hematuri
جده	Jeddah
الېکسانډر برنېس	Alexander Burnes
هندي فلسفه	Indisk filosofi
دليپ کمار	Dilip Kumar
سونيل دت	Sunil Dutt
د ايران هوايي ځواک	Islamska republiken Irans flygvapen
دهرمندر	Dharmendra
ملا دادالله اخوند	Dadullah Akhund
صبغت الله مجددي	Sibghatullah Mojaddedi
ابراهيم لودي	Ibrahim Lodhi
لمن لگښت	Marginalkostnad
افغان ملي پوځ	Afghanistans krigsmakt
د افغانستان د فوټبال فدراسيون	Afghanistans fotbollsfederation
کارلوی واری	Karlovy Vary
اهل بيت	Ahl al-Bayt
خوست	Khost
سوات ولسوالۍ	Swat, Pakistan
د هخامنشیانو ټولواکمني	Akemenider
شکودا سوپرب	Škoda Superb
معیاري ژبه	Standardspråk
احمد ولي کرزی	Ahmed Wali Karzai
سايکلوفوسفمايډ	Cyklofosfamid
ایندومټاسین	Indometacin
هېکزامېتيلين ټرايپرآکسيډايامين	Hexametylentriperoxiddiamin
سورلان	Varghund
سپېرکۍ	Ajowan
اېنالاپريل	Enalapril
مېبېندازول	Mebendazol
اوکټوجن	Oktogen
اوميپرازول	Omeprazol
بودېسونايد	Pulmicort
فېنواکسيمېتيل پېنيسيلين	Fenoximetylpenicillin
کلوکساسيلين	Kloxacillin
ديجوکسين	Digoxin
مېټوټرکسات	Metotrexat
دوكسيسايكلين	Doxycyklin
لوپيناوير	Lopinavir
امټريسيټابين	Emtricitabin
سټاووډين	Stavudin
وانکومايسين	Vankomycin
سالمېټېرول	Salmeterol
الاقصی جومات	Al-Aqsamoskén
د افغانستان اسلامي امارت	Islamiska emiratet Afghanistan
مسجد الحرام	Masjid al-Haram
الخالد شوبله	Al-Khalid
منبر	Minbar
اسلامي بانکوالی	Islamiskt bankväsende
سوخوی سو ٣٧	Suchoj Su-37
کرېشما کپور	Karisma Kapoor
ملکه رضيه	Radiyya Begum
اناهيتا راتبزاد	Anahita Ratebzad
حميرا بېگم	Humaira Begum
شبانه اعظمي	Shabana Azmi
ديا مرزا	Dia Mirza
آلماني چابکۍ	Tysk kackerlacka
فرېدرېک بارټ	Fredrik Barth
مظفر الدين شاه قاجار	Muzaffar al-din Shah Qajar
د درانيانو ټولواکمني	Huset Durrani
ملټيپل ميولوما	Myelom
بوينگ بي ۴۷ سټراټوجېټ	Boeing B-47 Stratojet
اسکاريس لومبريکويډېس	Spolmask
ابن زهر	Ibn Zuhr
امير عنايت الله خان	Inayatullah Khan
حبيب الله کلکاني	Habibullah Kalakâni
تالقان	Taloqan
دوشکا (د الوتکو ويشتونکي ماشيندار)	DSjK
شريعت	Sharia
اوزبکان	Uzbeker
ازمېښتون	Laboratorium
جيروسكوپ	Gyroskop
تاجکيان	Tadzjiker
سني اسلام	Sunni
آزربايجاني منات	Azerbajdzjansk manat
بې پيلوټه الوتکه	Obemannad luftfarkost
محمد اقبال	Mohammad Iqbal
فقه	Fiqh
چنگېز ايتمانوف	Tjingiz Ajtmatov
مۍ	Mungböna
د باميانو بودايي پژۍ	Kulturlandskapet och fornlämningarna i Bamiyandalen
تورکمنان	Turkmener
نړیوال سازمان	Internationell organisation
د ژبې فلسفه	Språkfilosofi
شانگهای د همکاريو سازمان	Shanghai Co-operation Organisation
کلبيان	Kyniska skolan
د آزادۍ راډيو	Radio Free Europe
اورنگزیب عالمگیر	Aurangzeb
راني موکېرجي	Rani Mukerji
مسجد نبوي	Masjid an-Nabawi
اسلاموفوبيا	Islamofobi
ازبکستاني سوم	Uzbekistansk som
ابن تيميه	Taqi al-Din Ibn Taymiyya
بولندوی	Överstelöjtnant
مېټامتريال	Metamaterial
الوتکه (فلم)	Titta vi flyger
ختيځي کيکه	Pestloppa
د شاه فیصل جومات	Shah Faisal-moskén
د اوبو ښاپېرک	Vattenfladdermus
نېفروټېک ساينډروم	Nefrotiskt syndrom
ادريس شاه	Idries Shah
انځور خبريالي	Bildjournalistik
د افغانستان د لارښودانو لړليک	Lista över Afghanistans statsöverhuvuden
سنتره	Tangerin
نخاعي شريان	Kotartären
هريپور (پاکستان)	Haripur
د الماني ژبې گرامر	Tysk grammatik
ISO 22000	ISO 22000
صلی الله عليه وسلم	Salla Allahu ʿalayhi wa sallam
اشاعره	Asharitiska skolan
پېښور ولسوالۍ	Peshawar (distrikt)
څاڅکي	Ögondroppar
خواجه عبدالله انصاري	Ansâri från Herat
پريتويراج چوهان	Prithvi Raj Chauhan
سمېع يوسف	Sami Yusuf
ډانگ لکۍ	Asiatisk paradisflugsnappare
پروټينيوريا	Proteinuri
بوللـه	Qasida
رضوي خراسان ولايت	Razavikhorasan
بفر سټېټ	Buffertstat
کونډه	Karbinhake
څارنوال	Åklagare
ټرانس امينېشن	Transaminering
گلومېرولونېفرايټس	Glomerulonefrit
د پاني پت لومړۍ جگړه	Första slaget vid Panipat
بوکان	Bukan
پوپلزي	Popalzai-klanen
آنتونوف-۱۴۸	Antonov An-148
امير ډنډ	Band-e Amir
امير محمد يعقوب خان	Muhammed Jakub Khan
ټوپولف ټو-۳۳۴	Tupolev Tu-334
ډئيزم	Deism
دگماتېزم	Dogm
گلسر	Rödpannad gulhämpling
اوبدرملنه	Hydroterapi
برېښنامېچ	Elmätare
ښځه په اسلام کې	Könsroller inom islam
جان گرين	John Green
اسلامي تاريخ	Islams historia
امام جومات	Shahmoskén
کتيتر	Kateter
آريانا افغان هوايي شرکت	Ariana Afghan Airlines
معتزله	Mu'taziliter
شهاب ۳	Shahab-3
اسحاق	Isak (Bibeln)
بانکي گڼون	Bankkonto
ويکيپېډيا:ډ-ځ-پ/ښوونځي	Wikipedia:Använda Wikipedia i undervisningen
زو – ۲۳ – ۲	ZU-23
ټاټرا ۸۱۵	Tatra T815
ټاټرا ۸۱۳	Tatra T813
اجاره	Hyreskontrakt
د اشراق فلسفه	Illuminationsteorin
درملپېژندنه	Farmakodynamik
ريگويدا	Rigveda
کوهستان ولسوالۍ (پښتونخوا)	Kohistan
طيبه لښکر	Lashkar-e-Taiba
سيد محمد حسين طباطبايي	Allameh Tabatabaei
لاله سری	Rödhuvad falk
چنجری	Frankoliner
فرهاد دريا	Farhad Darya
د غشی زهر آبي چونگښه	Dendrobates azureus
جي اېف ۱۷ تهنډر	CAC/PAC JF-17 Thunder
حامد کرزی نړيوال هوايي ډگر	Kabuls internationella flygplats
وزلوبه	Buzkashi
تپندۍ	Murslev
معمولي وامبټ	Nakennosvombat
کورکورۍ	Vitbukad flyghöna
تور-ام۱	9K330 Tor
بوټځمکپوهنه	Växtgeografi
امام حسين جومات	Husayn ibn Alis helgedom
لېیوروس قوینقوېستریاتوس	Leiurus quinquestriatus
ساييز غږونه	Vesikulär
تجويد	Tajwīd
ملتون	Företag
اسلامي ساينس	Islamisk vetenskap
ظهير الدين محمد بابر	Babur
پاکستان مسلم لیگ ن	Pakistanska muslimska förbundet - N
ږيره ور خوگ	Skäggsvin
درېيځ (مېچپوهنه)	Kub
آتريال فېبرېلېشن	Förmaksflimmer
هډپوهنه	Osteologi
چاپېريال ساتنه	Miljövård
جنت	Jannah
فيزيکي کتنه	Medicinsk undersökning
يهودي فلسفه	Judisk filosofi
اومان	Efedraväxter
لوېديځه فلسفه	Västerländsk filosofi
اسلامي زده کړې	Islamologi
د زړه عضلاتي اعتلال	Hjärtmuskelsjukdom
نيوروفېبروماټوسېز	Neurofibromatos
کومييز سرطان	Strupcancer
پېرودونکی	Kund
تېزپر	Vadarsvalor
عيسوي فلسفه	Kristen filosofi
زوم	Brudgum
تورړۍ	Svart stenskvätta
د سږو بوغمه	Lungödem
آی خانم	Ai Khanoum
وییزېرمه	Ordlista
د مهدي پوځ	Mahdimilisen
پاکستان مسلم لیگ ق	Pakistanska muslimska förbundet - Q
د اکولا اوبتل	Projekt 971 Sjtjuka-B
د بازار جوړښت	Marknadsform
چترال ولسوالۍ	Chitral
سمونتيا	Reform
توردلی	Buskskvättor
ماليکولي ننوونی	Molekylsikt
مونټ سټوارټ الفنسټن	Mountstuart Elphinstone
برېښنایي مرمري سکيټ کب	Marmorerad darrocka
تور نس لرونکي ستن	Större sjötrollslända
هېماټوپويسز	Hematopoes
اسلامي وييپانگه	Islamisk ordlista
جهنگ ولسوالۍ	Jhang
د سيستان او بلوچستان ولايت	Sistan och Baluchistan
د افغانستان اسلامي حزب	Hezb-i-Islami
د علیت برهان	Kosmologiska gudsbeviset
سپين باز	Vitvråk
غازي محمد ايوب خان	Ayub Khan (afghan)
ډانا ټايرون روهراباکر	Dana Rohrabacher
اېکزېما	Eksem
د افغان-انگرېز لومړۍ جگړه	Första anglo-afghanska kriget
يشناټکی	Kokpunkt
د فارس ولايت	Fars (provins)
د نړۍ برحاله هېوادمشران	Lista över statsöverhuvuden
هالي بېري	Halle Berry
غبرگه ښیښه	Isolerruta
د روسيې دولتي کتابتون	Ryska statsbiblioteket
د بوټي ژونکه	Växtcell
فېروز خان	Feroz Khan
د استخباراتو پرانيستى سرچينه	Open source intelligence
اږبکه	Blå storsvala
ووبرنځپوهنه	Histopatologi
د لوگر ولايت د بيارغونې ډله	Provincial Reconstruction Team
لادا اوبتل	Projekt 677 Lada
پېښور	Peshawar
کرک ولسوالۍ	Karak
آر پي جي – ۲۹	RPG-29
څېړنيزه خبريالي	Grävande journalistik
جرمنۍ غومبسه	Tyskgeting
زهوب	Exsudat
حدود	Hudud
فرعوني مېږی	Faraomyra
اداينه	Betalning
خروشتي	Kharosthi
جل وهنه	Värmerelaterade sjukdomstillstånd
اپولینارېزم	Apollinarism
دوتنه	File
گڼيه	Bostadslån
تعبیه شوی چاودیدونکی وسیله	Improviserade sprängmedel
د پاني پت دريمه جگړه	Tredje slaget vid Panipat
د افغان-انگرېز درېمه جگړه	Tredje anglo-afghanska kriget
تورغاړي ـ اوږدمښوکي مارغه	Svartbukad kolibri
سولگریز جال	Datornätverk
د حکومت بڼې	Regeringsform
ځنگلي خزدکه	Anoplotrupes stercorosus
افغان پيکا	Afghansk piphare
پر اسلام نيوکه	Kritik av islam
موسکيټ	P-270 Moskit
د اصفهان ولايت	Esfahan (provins)
ويکيپېډيا:وييپانگه	Wikipedia:Ordlista
مرتضی مطهري	Morteza Motahhari
محمد موسى شفيق	Musa Shafiq
وېليم حې مېکناټن	William Macnaghten
وېشنيزه:د امريکا متحده ايالات	Kategori:USA
وېشنيزه:روسيه	Kategori:Ryssland
وېشنيزه:کاناډا	Kategori:Kanada
وېشنيزه:برطانيه	Kategori:Storbritannien
وېشنيزه:چين	Kategori:Kina
وېشنيزه:هندوستان	Kategori:Indien
وېشنيزه:سعودي عربستان	Kategori:Saudiarabien
وېشنيزه:ايران	Kategori:Iran
لامبوځنه ښیښه	Floatglasmetoden
ابدالي	Abdalistammen
وېشنيزه:افغانستان	Kategori:Afghanistan
وېشنيزه:الجېريا	Kategori:Algeriet
وېشنيزه:عراق	Kategori:Irak
وېشنيزه:نېدرلانډ/هالېنډ	Kategori:Nederländerna
وېشنيزه:نايجېريا	Kategori:Nigeria
وېشنيزه:پاکستان	Kategori:Pakistan
وېشنيزه:د روم امپراطوری	Kategori:Romerska riket
وېشنيزه:مارغان	Kategori:Fåglar
وېشنيزه:بوټي	Kategori:Växter
وېشنيزه:ژونپوهنه	Kategori:Biologi
وېشنيزه:پېښليک	Kategori:Historia
وېشنيزه:ځمکپوهنه	Kategori:Geografi
وېشنيزه:ټولنه	Kategori:Samhälle
وېشنيزه:مذهب	Kategori:Religion
وېشنيزه:ورزښت	Kategori:Sport
وېشنيزه:اروپايي اتحاديه	Kategori:Europeiska unionen
وېشنيزه:ټوليزې رسنۍ	Kategori:Massmedia
وېشنيزه:ځمکه	Kategori:Jorden
مړاپ زره پوښ گاډي	MRAP
د قرآن مخينه	Koranens tillkomst
بر دير ولسوالۍ	Upper Dir
د بشري حقونو نړېواله اسلامي اعلاميه	Kairodeklarationen om de mänskliga rättigheterna i islam
خواږه مرچ	Paprika
گوند مشر	Partiledare
حبيب قادري	Habib Qaderi
چاودونکي شکل لرونکي مردک	Explosivt formad projektil
شهاب الدين محمد غوري	Muhammad av Ghor
سرپل	Sar-e Pol
څېړونکی	Forskare
سهيلا صديقي	Suhaila Seddiqi
اورمکۍ	Nattfjärilar
کينډۍ:/بکس-پايليک	Mall:Box-footer
وټیزه ولسواکي	Ekonomisk demokrati
ابراهيم	Ibrahim (islamisk profet)
نړيواله ټولنه	Internationella samfundet
ملهم	Balsam
کاربون نانو نل	Nanorör
محصول	Produkt
بابر بڼ	Bagh-e Babur
خبريال	Journalist
د ملي دفاع پوهنتون	National Defense University
وېشنيزه:فلسفه	Kategori:Filosofi
وېشنيزه:عيسويت	Kategori:Kristendom
وېشنيزه:اسلام	Kategori:Islam
وېشنيزه:يهوديت	Kategori:Judendom
پارت	Partien
اخوان الصفا	Ichwan as-safa
ملا صدرا	Mulla Sadra
خمس	Khums
لکي مروت ولسوالۍ	Lakki Marwat
بونير ولسوالۍ	Buner
رهبانيت	Religiös orden
گوادر ولسوالۍ	Gwadar (distrikt)
گوربت	Örnar
اسلام شاه سوري	Islam Shah
چرگ	Tupp
ساتنه	Beskydd
وړانگه	Ray (olika betydelser)
حافظ آباد ولسوالۍ	Hafizabad
بولان ولسوالۍ	Bolan
بابېړی	Skov
چکوال ولسوالۍ	Chakwal
بهکر ولسوالۍ	Bhakkar (distrikt)
مانسهره ولسوالۍ	Mansehra
مردان ولسوالۍ	Mardan
چارسده ولسوالۍ	Charsadda
هنگو ولسوالۍ	Hangu
شنگله ولسوالۍ	Shangla
بوښوتنيکا	Bochotnica
الاسمای	Al-Asma'i
د خښتي پل جومات	Pul-e Khishti-moskén
راجنپور ولسوالۍ	Rajanpur
ويهاړي ولسوالۍ	Vehari
ليه ولسوالۍ	Layyah
نارووال ولسوالۍ	Narowal
منډي بهاوالدين ولسوالۍ	Mandi Bahauddin
تولید (سوداگري)	Produkt (ekonomi)
د عراق او شام اسلامي دولت	Islamiska staten
يونس	Yunus
د فيلسوفانو لړليک	Lista över filosofer
ویدانتا	Vedanta
پښتانه	Pashtuner
سکندر لودي	Sikandar Lodhi
خوشاب ولسوالۍ	Khushab
تخنيک	Teknik
چامبېلي	Jasminum grandiflorum
رسنۍ	Medelvärde
سمبالښت	Management
وېشنيزه:هڅوب	Kategori:Kultur
وېشنيزه:لويې وچې	Kategori:Världsdelar
وېشنيزه:ځمکپېژنده	Kategori:Geologi
وېشنيزه:الوتکې	Kategori:Luftfarkoster
ثريا طرزي	Soraya Tarzi
وکيل احمد متوکل	Abdul Wakil Muttawakil
محمد رباني	Mohammed Rabbani
نانسي دوپري	Nancy Hatch Dupree
ايشوبی	Oljepanna
غوړگه	Vaden
بټگرام ولسوالۍ	Batagram
هنرونه	Konstarterna
مالاکنډ ولسوالۍ	Malakand
رحمت عزيز چترالي	Rehmat Aziz Chitrali
تانبه:ځمکپوهنه	Portal:Geografi
مماڼه	Sageretia brandrethiana
جلغوزه	Pinus gerardiana
تانبه:فلسفه	Portal:Filosofi
د کوکا کولا شرکت	The Coca-Cola Company
ببی	Beckasiner
ذکر	Zekr
هريړه	Terminalia chebula
کيمياوي وسلې	Kemiska vapen
ناصر پورپيرار	Nasser Pourpirar
وېشنيزه:د پوهنغونډ روباټان	Kategori:Wikipedia:Robotar
سورلکۍ	Rödstjärtar
لويېس دوپري	Louis Dupree
تانبه:هنرونه	Portal:Konst
اميرزی سنگين	Amirzai Sangin
احمد شاه خان	Ahmad Shah Khan
کينډۍ:دوراشې کامه	Mall:Citat
وېشنيزه:هېوادونه	Kategori:Världens länder
وېشنيزه:وټپوهنه	Kategori:Nationalekonomi
ويکيپېډيا:پازوالان	Wikipedia:Administratörer
ويکيپېډيا:روباټان	Wikipedia:Robotar
وېشنيزه:وخت	Kategori:Tid
وېشنيزه:انټرنټ	Kategori:Internet
وېشنيزه:بوټپوهنه	Kategori:Botanik
وېشنيزه:اناتومي	Kategori:Anatomi
وېشنيزه:طب	Kategori:Medicin
وېشنيزه:سياست	Kategori:Politik
گڼنه	Redovisning
مصر	Egypten
وېشنيزه:فيلسوفان	Kategori:Filosofer
کينډۍ:Bot	Mall:Bot
کاناډا	Kanada
وېشنيزه:هنګري	Kategori:Ungern
وېشنيزه:د اروپایي اتحادیې غړي هیوادونه	Kategori:Europeiska unionens medlemsstater
وېشنيزه:چېک جمهوريت	Kategori:Tjeckien
وېشنيزه:سلواکيا	Kategori:Slovakien
وېشنيزه:مايکروسافټ	Kategori:Microsoft
تانبه:پوهنه	Portal:Naturvetenskap
کينډۍ:Flagicon	Mall:Flaggbild
وېشنيزه:د اروپا هېوادونه	Kategori:Europas länder
وېشنيزه:اروپا	Kategori:Europa
يک تلويزيون	1TV (afghansk TV-kanal)
تانبه:تازه پېښې	Portal:Aktuella händelser
کينډۍ:لاسوند	Mall:Dokumentation
ويکيپېډيا:د ټولنې تانبه	Wikipedia:Deltagarportalen
وېشنيزه:User languages	Kategori:Användare efter språk
ويکيپېډيا:کارن-نوم	Wikipedia:Användarkonto
عايشه بنت ابي بکر	Aisha
سوداگري	Näringsliv
تانبه:ټکنالوجي	Portal:Teknik
کينډۍ:Softredirect	Mall:Mjuk omdirigering
کينډۍ:ړنگول	Mall:Radera
ليکبڼه	Vikt (typografi)
وېشنيزه:ژبې	Kategori:Språk
ويکيپېډيا:General disclaimer	Wikipedia:Allmänt förbehåll
کينډۍ:Navbox	Mall:Navbox
ويکيپېډيا:Shortcut	Mall:Genväg
وېشنيزه:د ایران ښارونه	Kategori:Orter i Iran
خيميران	Havsmusartade fiskar
کينډۍ:Citation needed	Mall:Källa behövs
بينگړۍ	Squash (växt)
کينډۍ:!	Mall:!
کينډۍ:Tnavbar	Mall:Navbar
ايمان	Tro
کينډۍ:Clear	Mall:Clear
کينډۍ:Col-begin	Mall:Col-begin
کينډۍ:Col-end	Mall:Col-end
کينډۍ:Anchor	Mall:Ankare
کينډۍ:Babel	Mall:Babel
کينډۍ:Commons	Mall:Commons
کينډۍ:AFG	Mall:AFG
کينډۍ:نابشپړ	Mall:Stub
کينډۍ:User de	Mall:Användare de
کينډۍ:User en-3	Mall:Användare en-3
کينډۍ:User en-1	Mall:Användare en-1
کينډۍ:User en-2	Mall:Användare en-2
کينډۍ:User en	Mall:Användare en
کينډۍ:User fa	Mall:Användare fa
وېشنيزه:افغاني هڅوب	Kategori:Kultur i Afghanistan
کينډۍ:User ja	Mall:Användare ja
کينډۍ:User ja-1	Mall:Användare ja-1
وېشنيزه:امريکايي لرغونپوهان	Kategori:Amerikanska arkeologer
کينډۍ:د هېواد مالومات تاجکستان	Mall:Landsdata Tadzjikistan
وېشنيزه:آسيا	Kategori:Asien
کينډۍ:Esoteric	Mall:Komplicerad kod
کينډۍ:د هېواد مالومات کویټ	Mall:Landsdata Kuwait
کينډۍ:Mod	Mall:Mod
کينډۍ:ISO639-3Documentation	Mall:Språk/kodlista
کينډۍ:د هېواد مالومات بلجيم	Mall:Landsdata Belgien
کينډۍ:د هېواد مالومات سلواکيا	Mall:Landsdata Slovakien
کينډۍ:د هېواد مالومات اېل سلوادور	Mall:Landsdata El Salvador
کينډۍ:د هېواد مالومات پاناما	Mall:Landsdata Panama
کينډۍ:د هېواد مالومات اېکوادور	Mall:Landsdata Ecuador
کينډۍ:د هېواد مالومات اېتوپيا	Mall:Landsdata Etiopien
